Date,Review,Score
"Jun 19, 2023","The score is so hideous and distracting and there is soooo much of it at the start of this movie, I couldn't hear the actors. This is by far the worst score I have ever heard used in a movie since the shitty smooth jazz period of the 1980s and this is worse. It was giving me a migraine I was looking for the remote to turn it off when the hideous score dissolved so I waited for a minute to watch more of it. it got better once the score was gone but every time it came back it was distracting. Not something one should be thinking about while watching a film. Honestly this is the first movie I have ever watched where the score ruined the film.",NEGATIVE
"Jun 12, 2023","Stressful and seedy and loud-mouthed and unaccountable.  One bad decision after another as an adult man's life circles the bowl for over two hours.  Adam Sandler gives an amazing performance of a character who I hated with every moment.  It ended the only way it could.  Cautionary tale with a lesson that scrupulous people would never need to learn.
No desire to ever see this one again.",NEUTRAL
"May 24, 2023","Never a dull moment to spare, Uncut Gems is constant in suspense. The Safie brothers invite you into a the ugly side of life, handed in a gift basket of threatening dialogue and seedy characters which will leave you on the edge of your seat.",POSITIVE
"May 20, 2023",eh                                                                                                                            0,NEGATIVE
"May 11, 2023",An absolute cinematic masterpiece. Enjoyable experience and a good feeling throughout the movie. It has a strong message about gambling in a gorific way. It has a sad ending though and could have been better.,POSITIVE
"May 8, 2023",The movie was made to get under your nerve and be as anxiety inducing as possible so ig good job but I don't watch movies to surfer! Actual physical reaction. The mastering of the sound is made to make you suffer. Characters super unlikeable got what he deserved in the end.,NEGATIVE
"May 7, 2023",everyone talks over each other and the background music is extremely loud and the main character is so unlikeable.,NEGATIVE
"May 6, 2023","Incredible film. A must-watch. Adam Sandler's performance is f*cking amazing in this, it was such a tense thrill ride throughout. Some may not like its style and that's fine, but this was nothing short of incredible.",POSITIVE
"Apr 30, 2023",Utter tripe. Turned off halfway in,NEGATIVE
"Apr 30, 2023",I hate this film. I hate the noIse. Hate the people. No one giving a shit about anyone else. Noisy people who are entitled fcks. Money. Kills everyone. People suck.,NEGATIVE
"Apr 27, 2023","Frenetic and tense the entire way through, the Safdie Brothers once again create a unique piece of cinema that keeps the viewer on edge for its whole runtime, with no break in the tension that is so well done as to not become burdensome. 
Certainly not a family watch, gritty and intense it is sure to polarise, but ultimately it is the Safdies at their best.
Adam Sandler is also superb, coming off some of the most lazy films in cinema (Murder Mystery comes to mind) he proves himself with a performance to match the tone and pace of the film-making and its direction, perfectly reflecting the Safdies' creative vision with a performance to blow his other work out of the water.",POSITIVE
"Apr 8, 2023","I think the user rating is perfect on 50 Percent.  It average.  Not horrible, not great.  I don't know why these critics are so out of touch.",NEGATIVE
"Apr 3, 2023",This movie is one of those that really makes the audience think. It takes us through the mind of an avid gambler and leaves the audience both entertained and contemplating gambling addiction.,POSITIVE
"Apr 3, 2023",Great movie!!! Like😉,POSITIVE
"Mar 31, 2023","Not usually one to get emotionally attached to a movie, however, being a person who micromanages his money this movie literally stressed me out.  I had to walk away a few times.  I think that makes the movie a success.  I'm generally able to figure out the plot of a movie quick but this movie made turns where I had it figured out.",POSITIVE
"Mar 24, 2023",Sandler's best performance and its not even close. Absolutely incredible movie with a massive ending. Movies don't get much better than this.,POSITIVE
"Mar 6, 2023","This movie knocked me on my ass. I usually can't see what most others do in so called ""artful character piece"" films. This is a notable exception. It held my attention through the admittedly quite long runtime. And the last act is a whirlwind of emotions. This was probably the best movie I watched in 2022. I will definitely be revisiting it, to see if it might be worth owing a physical copy. 9/10",POSITIVE
"Feb 27, 2023","If you want to level your frustration to 99,9%, watch this exhausting yet oddly attracting movie till its cathartic ending. Sandler delivers like a million lines of dialogue in a standout performance. What a liberating feeling when this fully charged character finally shuts up.",NEUTRAL
"Feb 24, 2023","""Uncut Gems"" was a remarkable take on a crime story that managed to be interesting, emotional, and incredibly enjoyable. Although the setup, which lasted about 20 minutes, was rather confusing and had too much happening at once for a movie's beginning, it immediately picked up. This movie's direction and script blended together in an absolutely extraordinary way, that led to layers which were complex, but brilliantly written and shown. It was a film made up of multiple plotlines that were able to create one exceptional story, something that most movies are unable to do. The acting was out of this world, Adam Sandler giving a performance that even the best of actors would be unable to execute. This movie has anxiety-inducing scenes that build upon each other to put you in such suspense you'll want to shut the TV off, but your eyes are glued to the screen. When it comes to characters, the main one is outstandingly written, with the audience hating him so much, yet wanting him to succeed more than anything. However, the other characters are not very appealing, as we don't get to dig into their personalities much. Besides this and the beginning of the film, ""Uncut Gems"" managed to surprise me and engulf me in a journey unlike any other.",POSITIVE
"Feb 15, 2023","Excellent performances and multiple viscerally anxiety-inducing scenes help prop up a rather hollow story of gambling addiction. The story constantly speeds up, no one learns anything, and it all ends abruptly after overstaying its welcome slightly. The acting, however, is top-notch. LaKeith Stanfield continues to make a case for his outstanding acting ability throughout the film. Idina Menzel shines as the wife saddled to Sandler's gambling addict. Sandler himself has certainly never been better and add to that a surprisingly good performance by Kevin Garnett you have a well-acted movie with no real direction outside of ""it's Requiem for a Dream but for gambling.""",NEUTRAL
"Feb 15, 2023",I love this movie so much. It's just non stop amazingness from start to finish,POSITIVE
"Feb 9, 2023","Absolutely one of my favorite movies from the last few years. The acting from everyone was top notch. One of the best Adam Sandler movies ever, and easily his best acting ever. The film is very fast paced which was such a fun ride. The story had me on the edge of my seat the whole way through.",POSITIVE
"Jan 29, 2023",This really surprised me with how good it was. Intense and thrilling with a devastating conclusion. Superb.,POSITIVE
"Jan 29, 2023","Well made and quality acting, Adam Sandler is a legend",POSITIVE
"Jan 28, 2023","A charismatic jeweller makes a high-stakes bet that could lead to the windfall of a lifetime. In a precarious high-wire act, he must balance business, family and adversaries on all sides in pursuit of the ultimate win.

Uncut gems is one of those movies of the last 5 years, that people have been talking about a lot, that I had not seen yet. The movie definitely gives Adam Sandler a career best performance, or at least one of his best performance to date. The movie itself is beautifully shot, with an incredible opening title sequence, that looked just so gorgeous. The movie takes you to a world that most of us have never been to, the world of big money and taking big risks. I myself wasnt that emotionally connected to the story and characters, as maybe a lot of other people were, however that ending definitely hit me. The movie itself has some really high tension moments, that definitely brought me to the edge of my seat, overall a total blast of a movie!",POSITIVE
"Jan 28, 2023",Excellent thriller texture and amience. Chest was tight the entire movie - another great addition to A24's catalog.,POSITIVE
"Jan 22, 2023","Story is quite interesting, but sorry, Safdies' style really irritates me. BG noise is just simply too loud. Was I watching a movie or a dash cam video?",NEUTRAL
"Jan 21, 2023",Adam Sandler should retire :) Was never funny or entertaining,NEGATIVE
"Jan 19, 2023","This movie did everything it was supposed to. Extremely tense on the edge thriller. Honestly Sandler‘s best work. This movie was so hard to watch but impossible to look away. Watch it, thank me later",POSITIVE
"Jan 16, 2023","C´mon men! You look at Adam Sandler with ""bad and sad face"" and you give 91% But you look at one of the best movies about space and science fiction like Interestellar and you only give 73%. Really? I mean, this is a good movie but is not the big deal.",NEUTRAL
"Jan 13, 2023","A personificação cinematográfica de crise de ansiedade e ""dedo no cu e gritaria"".
Foi tensão do início ao fim e, cara, como isso é tão bem construído pelos Irmãos Safdie. Toda a atmosfera exala insegurança, medo e angústia.
Atuação impecável do grande ator Adam Sandler e direção incorrigível dos Safdie.
Merecia ter dito mais atenção do Oscar.",POSITIVE
"Jan 4, 2023",This movie was overrated….I don’t get why people praise Adam Sandler so much for it,NEUTRAL
"Jan 1, 2023","This is a masterclass in tension. The only film I have seen recently, which hold the same level of intensity is No Country for Old Men. Absolutely phenomenal.",POSITIVE
"Dec 27, 2022","I never took Sandler as a serious actor. Yeah, he has done tragic characters before, but he was still the comedian that I knew. However he finally proved me wrong with his performance in this film. Had me at the edge the entire time.",POSITIVE
"Dec 24, 2022","The audience score is a joke. 
Y'all sleeping on Adam Sandler's best performance in his entire career with a heavy hitting script that keeps you on the edge of anxiety. The atmosphere perfectly recreates what it's like to be in crowded spaces like New York. It's a thrill ride!",POSITIVE
"Dec 23, 2022","Adam Sandler can make you desperate and irritating, but in this movie he not only succeeds but does it in a good way. With the unique direction of the Safdie brothers, who give us a film full of emotions.",POSITIVE
"Dec 18, 2022",On the edge of my seat the whole time.,POSITIVE
"Dec 13, 2022","Can that man stop screaming, like....",NEGATIVE
"Dec 12, 2022",Great acting performances bud that’s about it. The script was scattered and it dragged I fell asleep,NEGATIVE
"Dec 11, 2022","Anxiety in this film is so high, good or bad, watchable. People are yelling throughout of the running time. I personally like the use of score, really effective. My first film starring Adam Sandler, it worked in here.",NEUTRAL
"Nov 16, 2022",O ápice da atuação do Adam Sandler pode ser contemplado nesse filme,POSITIVE
"Nov 11, 2022","Bro, what a headache.",POSITIVE
"Nov 1, 2022","very chaotic movie. alot of shouting and talking over each other.
We see howard is an asshole to everyone in the movie and also tryna screw people.
he was deffiniately dislikeable characer. Adams acting was subperb.
Howard deffinately had the money to pay back this brother in law but he chose not. 
he had an house and apartment and many items. when he does sell the gem even then he choose not give the money.
He has a gambling issue shown thorughtout the film and he chasin the big win.
he always loses the bet but ironically he does get the big win he was chasing for but at the cost of this life. the ending of the show i was shocked they would end it like that.",POSITIVE
"Nov 1, 2022","A look into our polluted world of a group of people willing to do whatever it takes to try to be rich. Gamblers and those of no integrity hustle through life looking wealthy on the outside but rotting on the inside. I've seen too much of this type in the movies and in real life. Haven't we been bored enough by these characters? Haven't we seen the horror these types have laid bare on society... especially today with a former US President who's not so different at his core... along with those who admire and suck up to this kind of shallow greed? Its not a political movie but I simply can't stomach seeing this lowliness of humanity much more. I had no empathy for anyone. Sandler did a wonderful job but I did not care one bit for him, nor should any of us however, if that was the point of making this... well done but I'm very tired of all the negativity and ugliness we see of humanity today. I would like to see some real heroes again.... I'm also tired of this style of uneven direction and editing..... sadly, it does keep some interest but I wish I didn't watch it, ESPECIALLY before going to sleep.",NEUTRAL
"Oct 23, 2022",Finally a good movie that we can talk about in real adult conversations.,POSITIVE
"Oct 18, 2022","Rough intro. Too many scenes with too much going on at once. I get the whole chaotic and anxious mood setting but it was over the top. Should have been depected much differently. Most of the soundtrack didnt match the feel of the movie at all. Camera work made some scenes hard to watch. Adam Sandler was by far the best part. The relationship between Howard and Julia was great. Ending was decent, but felt rushed. Should of shortened some of the middle and extended the ending. It was an interesting movie, but not one I'd watch again.",NEGATIVE
"May 28, 2020","Adam Sandler gives us what he's made of. The movie definitely delivers in terms of unpredictability, suspense and drama.",NEUTRAL
"May 28, 2020",Loud and obnoxious movie.  Low on plot.  One of the most annoying soundtracks I've ever heard.,NEGATIVE
"May 28, 2020",This movie had campy 80s porn music playing throughout the entire thing and the dialouge was rough to follow. It was an hour plus of noise and Adam Sandler also making noise.,NEGATIVE
"May 28, 2020","I read all about it, I didn’t see it until Netflix and I made it through the first 20 minutes and I’ll admit I was a bit apprehensive, but this is a pretty good movie. I also have a tolerance for Sandler and the criticisms of his constant outbursts unphase me in that department. There Is a quiet dark comedy in watching Sandler flip out on someone or witnessing his constant angst against his girlfriend and we are constantly reminded why his current wife wants to quit him altogether. Sandler is running multiple circuses and he is the ringmaster of one while jumping through hoops like a lion in others. The movie feels like a Stanley Kubrick / Michael Mann / Terry Gilliam Adventure. Low budget, and heavy dialogue is hard to carry for 2 + hours. Really good movie that has replay value like Fear and Loathing. Kevin Garnett was great too. ",NEUTRAL
"May 28, 2020",Garbage. Don’t wast your time. This is the worst movie I’ve seen in +10 years. I turned it off after 10 minutes.,NEGATIVE
