Date,Score,Reviews
"Sep 5, 2023",POSITIVE,"Son zamanlarda izlediğim odak karakteri yahudi olan 3. yapım ama bunun ana konuya pek bir etkisi yok. Sürekli komedi filmlerinde izlediğim Adam Sandler bu filmde farklı bir rol almış. Film gözü paradan başka birşeyi görmeyen(ailesi dahil), hırslı, dolandırıcı, çapkın, kumarbaz bir adamın zengin olmak için tepeye doğru çıkarken sürekli daha dibe batması ve en dibe düştüğü anda da bir anda en yukarı çıkıp hiç beklenmedik bir anda hiçliğe karışmasını anlatıyor. Enteresan bir şekilde bu pislik adama acıyıp artık işi rast gitsin dememi sağlıyor. Ölümü ise hiç beklenmedik bir şok etkisi yaratıyor."
"Sep 3, 2023",POSITIVE,"Fantastic film, outstanding performance from
Adam Sandler. He clearly has depths."
"Sep 3, 2023",POSITIVE,"Uncut Gems is notably regarded as one of the best crime-thriller of all, and thus Adam Sandler became the most remarkable actor for his performance as Howard Ratner."
"Sep 2, 2023",POSITIVE,There was so many intense moments in this movie and the ending was surprising turn if events. Adam Sandler nailed this role!
"Aug 28, 2023",POSITIVE,One of Adam Sandler's best roles
"Aug 28, 2023",POSITIVE,"LOL, the funniest 2.25 hours ever!!!!!!!!!!!!!!!!!!!"
"Aug 25, 2023",POSITIVE,Very surprised to see the audience score of 51 when I wrote this. Can only assume they saw a different film to me. Thoroughly enjoyed this. The suspense & tension was held right until the very end scene.
"Aug 23, 2023",NEGATIVE,Worst movie I've ever seen.
"Aug 14, 2023",NEUTRAL,"Adam is fantastic both at being serious and funny.
The story is interesting and Kevin Garnett is good."
"Aug 13, 2023",POSITIVE,Awesome movie Very engaging. No matter how much I hate the ending I think it fits well into the film.
"Aug 10, 2023",POSITIVE,This is one of the best performances from Adam Sandler! A must watch gritty movie!
"Aug 4, 2023",POSITIVE,"Wow I'm confused as to why the audience score is so low - it seems many haven't seen it. Seriously, it's excellent. Effective story, interesting characters and a feeling of stress throughout due to what's happening in the story. This should be at least 85%."
"Aug 4, 2023",NEUTRAL,I just wish I never watched it!
"Aug 3, 2023",NEGATIVE,Wow!!! I just absolutely hated this movie!!!
"Jul 26, 2023",POSITIVE,"Adam Sandler showed his acting range and fits the role so well, the plot had me on the edge of my seat the entire time, fantastic movie"
"Jul 15, 2023",POSITIVE,"This one is not as uncomfortable as advertised, but Sandler's finest work is a great watch.  Hedge your bets in the NY Diamond district, where the juice runs 24/7."
